,clustering-distance,clustering-distance,clustering-distance,clustering-distance,clustering-distance
,Decision-Tree,Exp-Tree,CBA,DSCluster-Assoc,DSCluster
85,0.018102790709908202,0.03377916305005392,0.04218362282878412,0.040883238541318166,0.1019435380905093
86,0.016406270548936057,0.03955916778452879,0.04054006539854436,0.039583780304655654,0.13292233666641606
87,0.01714274441726505,0.040571819353481156,0.03761859845752649,0.03661467941192912,0.13333813917723952
88,0.017912096583287303,0.0375141376680081,0.036469896826433326,0.03646704583472733,0.10072941117084375
89,0.0169454746311055,0.040795391777795315,0.04138507862161258,0.03966808338393038,0.07954926381475465
90,0.017550435308661457,0.04070333254425419,0.03195298619652863,0.031611604896863994,0.09210453309659879
91,0.019674373339645966,0.03531129172255977,0.037455298324863544,0.037397590361445784,0.09251978300900811
92,0.017603040584970673,0.03880954259712249,0.033366482630911146,0.03234766710031293,0.09749970375636924
93,0.018148820326678767,0.038171703621873276,0.038045597986029855,0.03775694194013703,0.09341006032154665
94,0.01953628448933428,0.03746153239169889,0.029817238980585595,0.029342945677607032,0.09115857296265362
95,0.01889186985454641,0.043399352955101396,0.040694365395560615,0.03993574297188755,0.12323142651056983
96,0.018510481601304613,0.03979589152792025,0.03721621450705116,0.03650084207798938,0.1115132868820318
97,0.01614981982692864,0.038395276046187435,0.044785409728922226,0.0443938531587934,0.1021606507371632
